province_id,province_name,min_rain,max_rain,avg_rain,year_no,month_no,date,plant,produce_value
33,ศรีสะเกษ,154,208.8600006,172.0368042,2018,5,05-01-18,ทุเรียน,189
33,ศรีสะเกษ,96.11000061,277.6300049,163.5510559,2018,6,06-01-18,ทุเรียน,3186
33,ศรีสะเกษ,204.5299988,358.1900024,303.3607178,2018,7,07-01-18,ทุเรียน,725
33,ศรีสะเกษ,176.3600006,319.4599915,267.293396,2018,8,08-01-18,ทุเรียน,71
33,ศรีสะเกษ,221.5899963,338,306.8297424,2018,9,09-01-18,ทุเรียน,0
33,ศรีสะเกษ,23.52000046,77.27999878,56.64684677,2018,10,10-01-18,ทุเรียน,0
33,ศรีสะเกษ,9.340000153,19.57999992,14.91598606,2018,11,11-01-18,ทุเรียน,0
33,ศรีสะเกษ,0.100000001,4.510000229,2.303492308,2018,12,12-01-18,ทุเรียน,0
46,กาฬสินธุ์,0,2.220000029,0.494788557,2018,1,01-01-18,ทุเรียน,0
46,กาฬสินธุ์,7.949999809,50.47000122,24.31289864,2018,2,02-01-18,ทุเรียน,0
46,กาฬสินธุ์,23.11000061,49.65000153,36.04966736,2018,3,03-01-18,ทุเรียน,0
46,กาฬสินธุ์,73.05999756,166.9199982,105.1113892,2018,4,04-01-18,ทุเรียน,1
46,กาฬสินธุ์,154.3200073,219.2100067,184.4297333,2018,5,05-01-18,ทุเรียน,0
46,กาฬสินธุ์,153.5599976,260.0700073,196.2165985,2018,6,06-01-18,ทุเรียน,0
46,กาฬสินธุ์,196.8399963,549.1199951,340.4956055,2018,7,07-01-18,ทุเรียน,0
46,กาฬสินธุ์,130.0099945,272.3299866,203.0729218,2018,8,08-01-18,ทุเรียน,0
46,กาฬสินธุ์,87.91999817,211.3399963,158.1687927,2018,9,09-01-18,ทุเรียน,0
46,กาฬสินธุ์,8.760000229,58.86999893,21.84052467,2018,10,10-01-18,ทุเรียน,0
46,กาฬสินธุ์,0.270000011,16.37000084,4.974059105,2018,11,11-01-18,ทุเรียน,0
46,กาฬสินธุ์,0.800000012,10.97999954,2.409477711,2018,12,12-01-18,ทุเรียน,0
30,นครราชสีมา,0.230000004,103.0699997,24.99612427,2018,1,01-01-18,ทุเรียน,0
30,นครราชสีมา,0.949999988,78.48999786,38.3119545,2018,2,02-01-18,ทุเรียน,0
30,นครราชสีมา,1.309999943,61.41999817,28.76057434,2018,3,03-01-18,ทุเรียน,0
30,นครราชสีมา,72.15000153,246.2899933,141.7919464,2018,4,04-01-18,ทุเรียน,0
30,นครราชสีมา,118.25,343.6499939,177.9525909,2018,5,05-01-18,ทุเรียน,0
30,นครราชสีมา,74.33999634,169.1499939,104.3554306,2018,6,06-01-18,ทุเรียน,18
