year,plant,region_province,type,month_01,month_02,month_03,month_04,month_05,month_06,month_07,month_08,month_09,month_10,month_11,month_12, percentage_per_ton 
2551,ลองกอง,นครศรีธรรมราช, ปริมาณ , 54 , -   , -   , -   , 8 , 8 , 144 , 476 ," 1,033 "," 1,385 "," 1,582 ", 624 ," 5,314 "
2551,ลองกอง,พัทลุง, ร้อยละ , -   , -   , -   , -   , -   , -   , -   , 8.70 , 54.24 , 20.65 , 16.41 , -   , 100.00 
2551,ลองกอง,พัทลุง, ปริมาณ , -   , -   , -   , -   , -   , -   , -   , 58 , 362 , 138 , 109 , -   , 667 
2551,ลองกอง,สงขลา, ร้อยละ , -   , -   , -   , -   , -   , -   , 6.80 , 42.20 , 44.00 , 7.00 , -   , -   , 100.00 
2551,ลองกอง,สงขลา, ปริมาณ , -   , -   , -   , -   , -   , -   , 150 , 934 , 974 , 155 , -   , -   ," 2,213 "
2551,ลองกอง,สตูล, ร้อยละ , -   , -   , -   , -   , -   , -   , 20.00 , 70.00 , 10.00 , -   , -   , -   , 100.00 
2551,ลองกอง,สตูล, ปริมาณ , -   , -   , -   , -   , -   , -   , 83 , 291 , 41 , -   , -   , -   , 415 
2551,ลองกอง,ปัตตานี, ร้อยละ , -   , -   , -   , -   , -   , -   , -   , 44.74 , 47.30 , 7.96 , -   , -   , 100.00 
2551,ลองกอง,ปัตตานี, ปริมาณ , -   , -   , -   , -   , -   , -   , -   , 195 , 206 , 34 , -   , -   , 435 
2551,ลองกอง,ยะลา, ร้อยละ , -   , -   , -   , -   , -   , -   , -   , 50.25 , 39.47 , 10.28 , -   , -   , 100.00 
2551,ลองกอง,ยะลา, ปริมาณ , -   , -   , -   , -   , -   , -   , -   , 917 , 720 , 187 , -   , -   ," 1,824 "
2551,ลองกอง,นราธิวาส, ร้อยละ , -   , -   , -   , -   , -   , -   , -   , 12.13 , 77.53 , 10.34 , -   , -   , 100.00 
2551,ลองกอง,นราธิวาส, ปริมาณ , -   , -   , -   , -   , -   , -   , -   , 225 ," 1,436 ", 191 , -   , -   ," 1,852 "
2551,เงาะ,รวมทั้งประเทศ, ร้อยละ , 0.15 , -   , 0.08 , 6.44 , 34.52 , 28.51 , 13.40 , 11.60 , 3.80 , 0.47 , 0.23 , 0.80 , 100.00 
2551,เงาะ,รวมทั้งประเทศ, ปริมาณ , 609 , -   , 316 ," 26,031 "," 139,470 "," 115,183 "," 54,128 "," 46,863 "," 15,376 "," 1,908 ", 929 ," 3,240 "," 404,053 "
2551,เงาะ,ภาคตะวันออก/เหนือ, ร้อยละ , -   , -   , -   , -   , 26.25 , 64.37 , 9.38 , -   , -   , -   , -   , -   , 100.00 
2551,เงาะ,ภาคตะวันออก/เหนือ, ปริมาณ , -   , -   , -   , -   ," 1,254 "," 3,075 ", 448 , -   , -   , -   , -   , -   ," 4,777 "
2551,เงาะ,ภาคกลาง, ร้อยละ , -   , -   , 0.11 , 9.21 , 48.61 , 37.65 , 4.36 , 0.05 , 0.01 , -   , -   , -   , 100.00 
2551,เงาะ,ภาคกลาง, ปริมาณ , -   , -   , 316 ," 26,028 "," 137,301 "," 106,358 "," 12,325 ", 128 , 13 , -   , -   , -   ," 282,469 "
2551,เงาะ,ภาคใต้, ร้อยละ , 0.52 , -   , -   , 0.01 , 0.78 , 4.92 , 35.41 , 40.01 , 13.15 , 1.63 , 0.80 , 2.77 , 100.00 
2551,เงาะ,ภาคใต้, ปริมาณ , 609 , -   , -   , 3 , 915 ," 5,750 "," 41,355 "," 46,735 "," 15,363 "," 1,908 ", 929 ," 3,240 "," 116,807 "
2551,เงาะ,หนองคาย, ร้อยละ , -   , -   , -   , -   , 50.70 , 44.78 , 4.52 , -   , -   , -   , -   , -   , 100.00 
2551,เงาะ,หนองคาย, ปริมาณ , -   , -   , -   , -   , 502 , 443 , 45 , -   , -   , -   , -   , -   , 990 
